id,title,primary_type,secondary_tags,embodiment_level,human_nms_modeling,sensorimotor_control,human_robot_interaction,assistive_control,rehabilitation_relevance,subject_specific_validation,evidence_level,overall_embodied_ai_assessment,card_file
NMS009,Calibration of EMD and maximum isometric force,modeling,identifiability validation|calibration,E1,an EMG-driven calibrated NMS model used to test parameter sensitivity,no action loop,none,none,indirect methodological relevance,28-person calibration sensitivity rather than functional individualized control,methods_results_checked,Its main Embodied-AI value is a warning: controllers must not treat a good output fit as proof of a correct internal body state.,cards/02_personalization_multiscale_and_intervention.md
NMS010,RL personalization of EMG-driven models,control,RL personalization|virtual neural interface,E2,a subject-adapted upper-limb NMS mapping,an RL personalization policy supports online virtual-hand posture control,virtual human–machine interaction,virtual assistive-control precursor,medium; amputee relevance is demonstrated only in a virtual task,personalized models are tested across users including one amputee,full_text_checked,"It is a genuine embodied-control precursor because sensing changes action in a virtual body, but it lacks physical prosthesis and longitudinal validation.",cards/02_personalization_multiscale_and_intervention.md
NMS011,NMSM Pipeline,modeling,predictive simulation|treatment planning,E1,a patient-specific joint–muscle–tendon–neural-control model,optimizes counterfactual actions in simulation but has no sensing-driven agent loop,none,simulated treatment optimization,high conceptual relevance to post-stroke rehabilitation,one patient-specific use case with model-internal outcome,full_text_checked,"It is a strong patient-conditioned planning substrate, not validated embodied intelligence until predicted actions are executed and measured.",cards/02_personalization_multiscale_and_intervention.md
NMS012,Synergy-informed NMS modeling in cerebral palsy,modeling,sparse EMG|synergy-informed state estimation,E1,a synergy-informed patient NMS model for knee contact force,offline sensor-to-state inference without action selection,none,none,high for cerebral-palsy load-aware rehabilitation,six participants with patient-specific modeling but indirect force truth,full_text_checked,It reduces sensing burden for a decision-relevant body state; embodied-AI contribution remains incomplete without a control or feedback loop.,cards/02_personalization_multiscale_and_intervention.md
NMS013,Patient-specific MSK-FE rehabilitation pipeline,modeling,multiscale mechanics|rehabilitation planning,E1,a patient-specific whole-body NMS model coupled to knee FE tissue mechanics,compares candidate activities offline rather than adapting action online,none,decision-support only,"high, because rehabilitation activities are the evaluated context",15 knee-OA patients with personalized models but no prospective prescription,methods_results_checked,"It advances patient-specific body–tissue consequence modeling, not embodied sensorimotor intelligence.",cards/02_personalization_multiscale_and_intervention.md
NMS014,Personalized real-time Achilles multiscale model,modeling,real-time multiscale feedback|wearable state,E2,a personalized NMS-to-tendon-FE surrogate,"physical sensing updates Achilles strain and provides live smartphone feedback, but behavioral adaptation to that feedback is not evaluated",human–feedback interaction without a robot,feedback only,"high, especially for load-guided training",single-subject personalized real-time demonstration,full_text_checked,"It approaches embodied feedback by linking action to estimated tissue consequence, but lacks an experimentally closed behavior–feedback loop.",cards/02_personalization_multiscale_and_intervention.md
NMS015,Continuous calibration for exoskeleton control,control,continuous calibration|exoskeleton,E3,an autodifferentiable NMS body model updated online,continuous model adaptation is coupled to exoskeleton control,physical human–robot loop,real-time assistive control,potentially high but clinical/longitudinal evidence is limited,short-session subject-specific calibration; full-text evidence remains limited,abstract_and_methods_summary_checked,"It is strong embodied NMS control evidence, but not yet patient-grounded longitudinal co-adaptation.",cards/02_personalization_multiscale_and_intervention.md
NMS017,Benchmarking personalized hand models,modeling,personalization validation|anatomical ground truth,E1,alternative subject-specific hand NMS models,no action loop,none,none,indirect,MRI and fine-wire EMG provide unusually strong validation,full_text_checked,It contributes a crucial body-model validity benchmark and shows that predictive accuracy can hide anatomically false embodiment.,cards/02_personalization_multiscale_and_intervention.md
NMS018,Imaging-assisted personalized lumbar robot rehabilitation,robotics,imaging personalization|robot rehabilitation,E3,a sparse-MRI-personalized lumbar muscle model,the personalized model selects robot trajectory/force and measured EMG evaluates the physical response,physical human–robot interaction,personalized therapeutic robot control,"direct and high, though recovery outcomes are absent",four-human personalized model-to-robot validation,full_text_checked,"It is a strong physical embodied-NMS example: an individualized body model changes robot action, but acute EMG targeting is not longitudinal rehabilitation efficacy.",cards/02_personalization_multiscale_and_intervention.md
NMS019,Personalized cartilage mechanics under gait biofeedback,modeling,personalization validation|gait biofeedback,E1,generic and MRI-personalized knee models under an intervention condition,the model evaluates responses but does not select or adapt feedback,"human biofeedback context, not model-controlled HRI",none,high as a cost–benefit test for personalization,patient-specific models compared against generic models,full_text_checked,"It clarifies when anatomical personalization changes an intervention conclusion, but is not an embodied controller.",cards/02_personalization_multiscale_and_intervention.md
NEU001,In Vivo Neuromechanics,modeling,motor-unit decoding|causal neuromechanics,E1,a motor-neuron-to-muscle-force-to-joint-moment chain,neural state is decoded into mechanics without environmental action,none,none,indirect but mechanistically important,subject-specific model with direct motor-unit observations,full_text_checked,"It supplies a high-value neural observation layer for embodied NMS agents, but no agent–environment loop.",cards/03_sensorimotor_control_and_embodied_ai.md
NEU002,Motor-neuron interface after targeted muscle reinnervation,sensing,neural interface|prosthesis commands,E1,spinal motor-neuron discharge as the biological control source,"offline decoding maps neural activity to intended commands, without device-in-the-loop evaluation",prosthetic intent interface only,offline command decoding,high for upper-limb restoration,six high-level amputees; no subject-specific mechanical body model,methods_results_checked,"It advances biologically grounded sensing, not embodied intelligence until decoded intent controls a physical device with feedback.",cards/03_sensorimotor_control_and_embodied_ai.md
NEU003,Neuro-Musculoskeletal Mapping for Man-Machine Interfacing,modeling,neural interface|kinematic control mapping,E1,a calibrated neural-drive-to-wrist-mechanics map,closes an offline computational mapping but not a physical action loop,man–machine interface precursor,none demonstrated physically,medium,person-specific calibration in intact and amputee data,full_text_checked,It is a sensorimotor mapping component; embodiment remains computational because environment interaction and device feedback are absent.,cards/03_sensorimotor_control_and_embodied_ai.md
NEU004,Intramuscular EMG-driven MSK modeling,sensing,intramuscular EMG|assistive torque estimation,E1,an iEMG-driven personalized gait NMS model,"sensing estimates assistive joint moments, but no device action is tested",none,candidate assistive input only,high for SCI assistance,four healthy and three incomplete-SCI participants with subject-specific modeling,methods_results_checked,"It validates a potential long-term neural sensor for an embodied controller, not the controller itself.",cards/03_sensorimotor_control_and_embodied_ai.md
NEU006,Perspective on predictive gait simulations,embodied_ai_related_weak,review|predictive simulation,E0,reviews gait models and optimal-control assumptions,no implemented embodied agent,none,conceptual,high as a validation framework,not applicable,full_text_checked,"It sets the falsification bar for predictive embodied models but contributes no new agent, body, sensing or interaction system.",cards/03_sensorimotor_control_and_embodied_ai.md
NEU007,Deep RL for neuromechanical locomotion control,embodied_ai,DRL|neuromechanical locomotion,E2,a simulated muscle-actuated locomotor body,policy and environment form a closed simulated sensorimotor loop,simulated only,none,low direct clinical relevance,no human subject-specific binding,full_text_checked,"It is genuine simulated NMS embodied intelligence and a strong control baseline, but reward success does not establish biological or patient validity.",cards/03_sensorimotor_control_and_embodied_ai.md
NEU008,MotorNet,embodied_ai,differentiable control|software infrastructure,E2,differentiable biomechanical effectors,neural controllers act through a body in a task environment,simulated only,none,indirect,no patient binding,full_text_checked,"MotorNet is a strong experimental sandbox for embodied sensorimotor hypotheses, not a human-validated NMS system.",cards/03_sensorimotor_control_and_embodied_ai.md
NEU009,Curriculum RL for musculoskeletal skills,embodied_ai,curriculum RL|dexterous motor control,E2,a 39-muscle hand interacting with Baoding balls,a policy learns contact-rich control and is probed for synergy structure,simulated object interaction,none,low direct rehabilitation relevance,no subject-specific validation,full_text_checked,"It contributes embodied motor-learning evidence and challenges naive low-dimensional synergy interpretations, but remains simulator-specific.",cards/03_sensorimotor_control_and_embodied_ai.md
NEU010,Latent exploration for RL,embodied_ai,latent action RL|control optimization,E2,a high-dimensional muscle-actuated simulated body,learned latent actions improve policy exploration in closed-loop tasks,simulated only,none,low direct relevance,no human binding,full_text_checked,"Its contribution is algorithmic efficiency for embodied control; it does not validate physiology, patients or physical transfer.",cards/03_sensorimotor_control_and_embodied_ai.md
NEU011,DynSyn,embodied_ai,dynamic muscle synergies|adaptive control,E2,a muscle-actuated body with state-dependent action representation,dynamic synergies adapt policy action to state and task,simulated only,none,medium as a possible impairment/coordination model,no subject-specific validation,full_text_checked,"It advances adaptive action representation in embodied agents, but its physiological and rehabilitation meaning remains unvalidated.",cards/03_sensorimotor_control_and_embodied_ai.md
NEU012,Embodied Sensorimotor Control,embodied_ai,sensorimotor-control framework|neuroscience,E0,"conceptually couples neural controller, body mechanics, sensory feedback and environment",defines a closed-loop explanatory framework rather than implementing one,conceptual,conceptual,medium to high as a scientific framework,none,full_text_checked,"It is a strong conceptual Embodied-AI paper, but not empirical evidence for a human NMS agent.",cards/03_sensorimotor_control_and_embodied_ai.md
EMB001,MyoSim,embodied_ai,musculoskeletal simulation|human–exoskeleton environment,E2,efficient MuJoCo musculoskeletal and exoskeleton bodies,supports closed-loop policy training in coupled body/device environments,simulated HRI,simulated assistance,medium as a preclinical testbed,"generic configurable models, not data-bound subjects",full_text_checked,"It provides scalable physical embodiment for policy learning, while patient specificity and hardware validity remain external.",cards/03_sensorimotor_control_and_embodied_ai.md
EMB002,MyoSuite,embodied_ai,benchmark|physiology perturbations,E2,"contact-rich muscle-actuated hand, arm and leg bodies","agents learn tasks under weakness, fatigue and tendon-transfer perturbations",simulated interaction,simulated assistance scenarios,medium as a hypothesis generator,no real subject binding,full_text_checked,MyoSuite is a core NMS Embodied-AI benchmark; pathology parameters do not by themselves constitute patient validation.,cards/03_sensorimotor_control_and_embodied_ai.md
EMB003,MyoDex,embodied_ai,motor prior|multitask learning,E2,a simulated musculoskeletal hand,a reusable policy prior accelerates new contact-rich actions,simulated object interaction,none,low direct rehabilitation relevance,no subject-specific validation,full_text_checked,"It contributes transferable embodied motor priors, but transfer remains inside one simulator family.",cards/03_sensorimotor_control_and_embodied_ai.md
EMB004,MS-Human-700 full-body self model,embodied_ai,whole-body model|hierarchical control,E2,a 700-musculotendon-unit whole-body agent,hierarchical representations enable locomotor policy learning,simulated body–environment loop,none,medium as a whole-body disability/assistance substrate,generic model only,full_text_checked,"It expands the scale of NMS embodiment and control, but model size and self-model language do not establish human or patient validity.",cards/03_sensorimotor_control_and_embodied_ai.md
EMB005,MyoChallenge 2024,embodied_ai,benchmark|algorithm validation,E2,standardized biological and bionic simulated limbs,competition policies act in dexterity and agility environments,simulated bionic interaction,simulated device tasks,medium as an evaluation infrastructure,no patient binding,full_text_checked,"It is strong community-level evidence about current embodied-control capability, while its scores remain simulator-defined.",cards/03_sensorimotor_control_and_embodied_ai.md
WEA001,OpenSense,sensing,IMU kinematics|open software,E1,an OpenSim kinematic body driven by IMUs,"continuous observation updates pose, with no policy or action loop",none,none,medium as out-of-lab observation,healthy subject calibration/validation only,full_text_checked,OpenSense is an observation layer for embodiment; angle tracking alone is not embodied intelligence.,cards/04_sensing_hri_and_rehabilitation.md
WEA002,OpenCap,sensing,video biomechanics|scalable acquisition,E1,an episodic OpenSim body reconstructed from smartphone video,observation produces kinematics/dynamics without agent action,none,none,"high for remote assessment, not tested as adaptive rehabilitation",subject-scaled models with population validation rather than persistent patient binding,full_text_checked,OpenCap scales body-state acquisition; its embodied-AI value depends on later decision/control use.,cards/04_sensing_hri_and_rehabilitation.md
WEA004,User-generic ultrasound HMI,sensing,ultrasound HMI|virtual interaction,E2,muscle morphology as a control-relevant bodily signal,decoded intent controls a virtual interaction loop,virtual HRI,interface control only,medium; no clinical rehabilitation test,"user-generic and cross-user testing, not patient-specific mechanics",full_text_checked,"It demonstrates embodied interfacing beyond EMG/IMU, but remains an intent sensor rather than a complete NMS agent.",cards/04_sensing_hri_and_rehabilitation.md
ROB001,Voluntary exoskeleton control via neuromechanical modeling,robotics,neuromechanical control|paresis,E4,a subject-specific EMG-driven NMS body model,residual neural drive is converted online into multi-joint robot torque,physical HRI with exoskeletons,validated voluntary assistive control,direct and high for paresis,four healthy and three paresis participants with patient-specific models,full_text_checked,"It is one of the strongest human NMS embodied systems: neural state, personalized body model and physical action are closed, but evidence is short-term and lacks uncertainty or recovery outcomes.",cards/04_sensing_hri_and_rehabilitation.md
ROB002,Real-time NMS wrist-hand prosthesis control,robotics,prosthesis control|real-time NMS,E3,a subject-specific wrist–hand NMS model,EMG-driven mechanics generate simultaneous physical prosthesis commands,physical prosthesis interaction,validated device control,"direct functional relevance, limited longitudinal evidence",subject-specific real-time validation; cohort details incompletely accessible in this pass,methods_results_checked,"It is a strong physics-constrained embodied interface, but long-term use, sensory feedback and patient function remain insufficiently tested.",cards/04_sensing_hri_and_rehabilitation.md
ROB003,Adaptive model-based control for soft arm exosuit,robotics,adaptive myoelectric control|soft exosuit,E3,an adaptive subject-specific biomechanical arm model,voluntary effort and posture update assistance online,physical soft-exosuit HRI,assist-as-needed control,direct but mainly engineering-stage,healthy short-session subject adaptation,methods_results_checked,It is genuine physical embodied control; the unresolved issue is whether adaptation tracks physiology or merely compensates sensor/model drift.,cards/04_sensing_hri_and_rehabilitation.md
ROB004,NMS-modeling-based prostheses after SCI,embodied_ai_related_weak,perspective|prosthesis roadmap,E0,proposes a neural–muscle–skeletal prosthesis representation,describes future bidirectional loops but implements none,conceptual,conceptual restorative assistance,high as an agenda,none in this paper,full_text_checked,It is a strong research agenda but weak empirical Embodied-AI evidence.,cards/04_sensing_hri_and_rehabilitation.md
ROB005,Human-in-the-loop exoskeleton optimization,control,human-in-the-loop optimization|exoskeleton,E3,no explicit NMS body state; physiology appears as a metabolic objective,a physical human and exoskeleton jointly close an optimization loop,physical HRI,validated personalized assistance,medium; healthy assistance rather than rehabilitation,individual optimization without mechanistic subject model,full_text_checked,"It is strong embodied adaptation evidence, but not human NMS embodied modeling because the internal body state is a black-box objective.",cards/04_sensing_hri_and_rehabilitation.md
ROB006,Real-world personalized exoskeleton assistance,robotics,real-world exoskeleton|online personalization,E3,no mechanistic NMS representation,online optimization adapts physical assistance during real-world walking,physical real-world HRI,validated personalized assistance,medium; functional relevance without patient rehabilitation,"individual online optimization, mainly non-disabled users",full_text_checked,It sets a high bar for real-world embodiment and outcome validation while leaving neural–musculoskeletal state implicit.,cards/04_sensing_hri_and_rehabilitation.md
ROB007,DRL exoskeleton coupled to an MSK model,embodied_ai,DRL|human–exoskeleton simulation,E2,a coupled musculoskeletal human and exoskeleton model,policy acts in a perturbed locomotion environment,simulated HRI,simulated assistive control,medium as a preclinical testbed,generic/pathology-parameter variation without patient binding,full_text_checked,"It is genuine simulated embodied assistance, but no patient-conditioned model, hardware transfer or clinical endpoint is shown.",cards/04_sensing_hri_and_rehabilitation.md
ROB008,Patient-specific EMG-driven model for gait robots,modeling,subject-specific gait torque|robot-control precursor,E1,an EMG-driven person-specific gait model,predicts torque offline without commanding a robot,none,potential use only,medium,six adolescents with subject-specific models,methods_results_checked,"It is a body-model baseline for human-inspired robotics, not an embodied control paper because the proposed robot loop is absent.",cards/04_sensing_hri_and_rehabilitation.md
ROB009,Muscle activation for robotic rehabilitation after SCI,rehabilitation,EMG outcome validation|SCI,E1,muscle activation is treated as a rehabilitation-relevant human state,compares neural engagement across stimulation/training conditions without controlling a robot,robotic-rehabilitation context but no closed HRI,none,direct and high for defining outcomes,"SCI and healthy human validation, not a subject-specific NMS model",methods_results_checked,It contributes a clinically meaningful embodiment target—voluntary muscle engagement—but not an embodied controller.,cards/04_sensing_hri_and_rehabilitation.md
ROB011,Online personalized exoskeleton assistance after stroke,robotics,online human–exoskeleton adaptation|stroke,E4,an online person-specific human–exoskeleton interaction model,gait phase/torque estimation updates physical assistance in under a minute,physical HRI,validated assistive control with a stroke pilot,"direct, but clinical evidence is preliminary",multi-user evaluation with only a single stroke case,full_text_checked,"It is among the closest patient-grounded embodied systems, but mechanistic NMS state, uncertainty and longitudinal rehabilitation evidence remain missing.",cards/04_sensing_hri_and_rehabilitation.md
