id,title,primary_type,secondary_type,dt_level,evidence_level,phd_relevance,card_file
NMS019,Personalized cartilage mechanics under gait biofeedback,validation,personalization,L1-L3,full_text_checked,critical_design_benchmark,cards/02_personalization_and_multiscale.md
NEU001,In Vivo Neuromechanics,modeling,neural_state_validation,L1-L2,full_text_checked,strong_foundation,cards/03_neural_control_and_embodied_ai.md
NEU002,Motor-neuron interface after targeted muscle reinnervation,sensing,neural_interface_validation,L2,methods_results_checked,strong_sensing_benchmark,cards/03_neural_control_and_embodied_ai.md
NEU003,Neuro-Musculoskeletal Mapping for Man-Machine Interfacing,modeling,neural_interface_validation,L1-L2,full_text_checked,potential_architecture_component,cards/03_neural_control_and_embodied_ai.md
NEU004,Intramuscular EMG-driven MSK modeling,sensing,modeling_validation,L2,methods_results_checked,strong_implant_bridge,cards/03_neural_control_and_embodied_ai.md
NEU006,Perspective on predictive gait simulations,review,predictive_modeling,defines_L3_bar,full_text_checked,strong_methodological_foundation,cards/03_neural_control_and_embodied_ai.md
NEU007,Deep RL for neuromechanical locomotion control,validation,simulation_control,L0,full_text_checked,useful_control_baseline,cards/03_neural_control_and_embodied_ai.md
NEU008,MotorNet,modeling,software_infrastructure,L0,full_text_checked,strong_reproducible_sandbox,cards/03_neural_control_and_embodied_ai.md
NEU009,Curriculum RL for musculoskeletal skills,modeling,control,L0,full_text_checked,strong_conceptual_caution,cards/03_neural_control_and_embodied_ai.md
NEU010,Latent exploration for RL,modeling,control_algorithm,L0,full_text_checked,useful_algorithmic_prior,cards/03_neural_control_and_embodied_ai.md
NEU011,DynSyn,modeling,control,L0,full_text_checked,potential_control_module,cards/03_neural_control_and_embodied_ai.md
NEU012,Embodied Sensorimotor Control,review,framework,defines_L3-L4_questions,full_text_checked,strong_conceptual_foundation,cards/03_neural_control_and_embodied_ai.md
EMB001,MyoSim,modeling,software_infrastructure,L0,full_text_checked,strong_rapid_prototyping_tool,cards/03_neural_control_and_embodied_ai.md
EMB002,MyoSuite,modeling,benchmark,L0,full_text_checked,strong_embodied_ai_baseline,cards/03_neural_control_and_embodied_ai.md
EMB003,MyoDex,modeling,control_prior,L0,full_text_checked,useful_prior_learning_route,cards/03_neural_control_and_embodied_ai.md
EMB004,MS-Human-700 full-body self model,modeling,control,L0,full_text_checked,strong_whole_body_substrate,cards/03_neural_control_and_embodied_ai.md
EMB005,MyoChallenge 2024,validation,benchmark,L0,full_text_checked,strong_benchmarking_resource,cards/03_neural_control_and_embodied_ai.md
WEA001,OpenSense,sensing,validation_software,L2,full_text_checked,strong_sensing_baseline,cards/04_wearable_and_robotics.md
WEA002,OpenCap,sensing,modeling_validation,L2,full_text_checked,strong_scalable_acquisition,cards/04_wearable_and_robotics.md
WEA004,User-generic ultrasound HMI,sensing,interface_validation,L2,full_text_checked,strong_multimodal_candidate,cards/04_wearable_and_robotics.md
ROB001,Voluntary exoskeleton control via neuromechanical modeling,near_true_twin,modeling_personalization_validation,L4_early,full_text_checked,nearest_implemented_architecture,cards/04_wearable_and_robotics.md
ROB002,Real-time NMS wrist-hand prosthesis control,near_true_twin,modeling_personalization_validation,L3-L4,methods_results_checked,nearest_control_precedent,cards/04_wearable_and_robotics.md
ROB003,Adaptive model-based control for soft arm exosuit,near_true_twin,modeling_adaptive_control,L4_like,methods_results_checked,strong_systems_precedent,cards/04_wearable_and_robotics.md
ROB004,NMS-modeling-based prostheses after SCI,framework,intervention,concept_L4-L5,full_text_checked,strong_research_agenda,cards/04_wearable_and_robotics.md
ROB005,Human-in-the-loop exoskeleton optimization,personalization,closed_loop_validation,L4_nonmechanistic,full_text_checked,strong_intervention_benchmark,cards/04_wearable_and_robotics.md
ROB006,Real-world personalized exoskeleton assistance,personalization,real_world_validation,L4_nonmechanistic,full_text_checked,strong_real_world_bar,cards/04_wearable_and_robotics.md
ROB007,DRL exoskeleton coupled to an MSK model,modeling,simulation_control,L0,full_text_checked,useful_virtual_testbed,cards/04_wearable_and_robotics.md
ROB008,Patient-specific EMG-driven model for gait robots,personalization,modeling_validation,L1,methods_results_checked,useful_early_baseline,cards/04_wearable_and_robotics.md
ROB009,Muscle activation for robotic rehabilitation after SCI,sensing,rehabilitation_validation,L1-L2,methods_results_checked,strong_outcome_design_warning,cards/04_wearable_and_robotics.md
ROB011,Online personalized exoskeleton assistance after stroke,near_true_twin,personalization_closed_loop_validation,L4,full_text_checked,nearest_true_twin_candidate,cards/04_wearable_and_robotics.md
